# markerAvrg: average marker throughout entire volume of phantom (including in- and outlets)
# roi1_markerAvrg: average marker in full phantom volume (without in- and outlets)
# roi2_markerAvrg: average marker in 30mm sphere on central axis 11mm away from top
# roi3_markerAvrg: average marker in 30mm sphere on central axis 15mm away from top
# roi4_markerAvrg: average marker in sphere segment cut-off at 41.25 mm from top

#time	markerAvrg	roi1_markerAvrg	roi2_markerAvrg	roi3_markerAvrg	roi4_markerAvrg
3.12	0.00496981	0.00499053	0.0164464	0.0122384	0.0190211
3.13	0.00494616	0.00496681	0.0161318	0.0119876	0.0189366
3.14	0.00492261	0.0049432	0.0158204	0.0117407	0.0188522
3.15	0.00489918	0.00491969	0.0155123	0.0114977	0.0187678
3.16	0.00487586	0.0048963	0.0152076	0.0112588	0.0186835
3.17	0.00485265	0.00487302	0.0149066	0.0110241	0.0185992
3.18	0.00482955	0.00484984	0.0146094	0.0107934	0.018515
3.19	0.00480656	0.00482677	0.014316	0.010567	0.0184308
3.2	0.00478368	0.00480381	0.0140267	0.0103447	0.0183468
3.21	0.00476091	0.00478096	0.0137415	0.0101267	0.0182628
3.22	0.00473824	0.00475821	0.0134605	0.00991296	0.018179
3.23	0.00471569	0.00473557	0.0131839	0.00970343	0.0180953
3.24	0.00469324	0.00471304	0.0129116	0.00949814	0.0180118
3.25	0.0046709	0.00469062	0.0126439	0.00929707	0.0179284
3.26	0.00464867	0.0046683	0.0123807	0.0091002	0.0178452
3.27	0.00462654	0.00464608	0.012122	0.00890752	0.0177622
3.28	0.00460451	0.00462397	0.011868	0.00871899	0.0176793
3.29	0.00458259	0.00460196	0.0116187	0.00853458	0.0175967
3.3	0.00456078	0.00458006	0.0113741	0.00835425	0.0175142
3.31	0.00453906	0.00455827	0.0111341	0.00817795	0.017432
3.32	0.00451745	0.00453657	0.0108989	0.00800565	0.0173499
3.33	0.00449595	0.00451498	0.0106684	0.00783729	0.0172681
3.34	0.00447454	0.00449349	0.0104426	0.00767281	0.0171866
3.35	0.00445324	0.0044721	0.0102215	0.00751217	0.0171052
3.36	0.00443204	0.00445081	0.010005	0.00735531	0.0170241
3.37	0.00441094	0.00442963	0.00979314	0.00720216	0.0169433
3.38	0.00438993	0.00440854	0.00958589	0.00705266	0.0168627
3.39	0.00436903	0.00438755	0.00938319	0.00690675	0.0167824
3.4	0.00434823	0.00436667	0.00918499	0.00676437	0.0167023
3.41	0.00432753	0.00434588	0.00899126	0.00662545	0.0166225
3.42	0.00430693	0.00432519	0.00880192	0.00648993	0.016543
3.43	0.00428642	0.0043046	0.00861693	0.00635774	0.0164637
3.44	0.00426601	0.00428411	0.00843622	0.00622881	0.0163848
3.45	0.0042457	0.00426371	0.00825973	0.00610307	0.0163061
3.46	0.00422548	0.00424342	0.00808739	0.00598047	0.0162277
3.47	0.00420536	0.00422321	0.00791913	0.00586093	0.0161495
3.48	0.00418534	0.00420311	0.00775489	0.00574439	0.0160717
3.49	0.00416541	0.0041831	0.00759459	0.00563077	0.0159942
3.5	0.00414558	0.00416318	0.00743815	0.00552003	0.0159169
3.51	0.00412584	0.00414336	0.00728552	0.00541208	0.01584
3.52	0.0041062	0.00412363	0.0071366	0.00530687	0.0157633
3.53	0.00408665	0.004104	0.00699133	0.00520434	0.015687
3.54	0.00406719	0.00408446	0.00684964	0.00510441	0.015611
3.55	0.00404782	0.00406502	0.00671144	0.00500703	0.0155352
3.56	0.00402855	0.00404566	0.00657666	0.00491213	0.0154598
3.57	0.00400937	0.0040264	0.00644524	0.00481966	0.0153847
3.58	0.00399028	0.00400723	0.00631709	0.00472955	0.0153099
3.59	0.00397128	0.00398815	0.00619214	0.00464175	0.0152354
3.6	0.00395237	0.00396916	0.00607032	0.00455619	0.0151613
3.61	0.00393355	0.00395026	0.00595156	0.00447283	0.0150874
3.62	0.00391482	0.00393145	0.00583579	0.0043916	0.0150138
3.63	0.00389618	0.00391273	0.00572293	0.00431245	0.0149406
3.64	0.00387763	0.0038941	0.00561292	0.00423532	0.0148677
